18:40 - ExecuteAsync - Started
18:41 - StopAsync - Stoped
18:43 - ExecuteAsync - Started
18:57 - StopAsync - Stoped
11:05 - ExecuteAsync - AM Rdp Manager is Started
11:38 - StopAsync - Stoped
18:26 - ExecuteAsync - AM Rdp Manager is Started
18:46 - StopAsync - Stoped
18:47 - ExecuteAsync - AM Rdp Manager is Started
17:39 - StopAsync - Stoped
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:26 - Telebot error - An error occurred: Bad Gateway
14:28 - Telebot error - An error occurred: Request timed out
23:03 - Telebot error - An error occurred: Exception during making request
14:39 - StopAsync - Stoped
14:39 - ExecuteAsync - AM Rdp Manager is Started
14:45 - StopAsync - Stoped
14:49 - ExecuteAsync - AM Rdp Manager is Started
4:10 - Telebot error - An error occurred: Bad Gateway
4:10 - Telebot error - An error occurred: Bad Gateway
4:10 - Telebot error - An error occurred: Bad Gateway
4:10 - Telebot error - An error occurred: Bad Gateway
4:10 - Telebot error - An error occurred: Bad Gateway
4:10 - Telebot error - An error occurred: Bad Gateway
4:10 - Telebot error - An error occurred: Bad Gateway
4:10 - Telebot error - An error occurred: Bad Gateway
4:10 - Telebot error - An error occurred: Bad Gateway
4:10 - Telebot error - An error occurred: Bad Gateway
4:10 - Telebot error - An error occurred: Bad Gateway
4:10 - Telebot error - An error occurred: Bad Gateway
4:10 - Telebot error - An error occurred: Bad Gateway
4:10 - Telebot error - An error occurred: Bad Gateway
4:10 - Telebot error - An error occurred: Bad Gateway
4:10 - Telebot error - An error occurred: Bad Gateway
4:10 - Telebot error - An error occurred: Bad Gateway
4:10 - Telebot error - An error occurred: Bad Gateway
4:10 - Telebot error - An error occurred: Bad Gateway
4:10 - Telebot error - An error occurred: Bad Gateway
4:10 - Telebot error - An error occurred: Bad Gateway
4:10 - Telebot error - An error occurred: Bad Gateway
4:10 - Telebot error - An error occurred: Bad Gateway
4:10 - Telebot error - An error occurred: Bad Gateway
4:10 - Telebot error - An error occurred: Bad Gateway
4:10 - Telebot error - An error occurred: Bad Gateway
4:10 - Telebot error - An error occurred: Bad Gateway
4:10 - Telebot error - An error occurred: Bad Gateway
4:10 - Telebot error - An error occurred: Bad Gateway
4:10 - Telebot error - An error occurred: Bad Gateway
4:10 - Telebot error - An error occurred: Bad Gateway
4:10 - Telebot error - An error occurred: Bad Gateway
4:10 - Telebot error - An error occurred: Bad Gateway
4:10 - Telebot error - An error occurred: Bad Gateway
4:10 - Telebot error - An error occurred: Bad Gateway
4:10 - Telebot error - An error occurred: Bad Gateway
4:10 - Telebot error - An error occurred: Bad Gateway
4:10 - Telebot error - An error occurred: Bad Gateway
4:10 - Telebot error - An error occurred: Bad Gateway
4:12 - Telebot error - An error occurred: Request timed out
7:06 - Telebot error - An error occurred: Exception during making request
12:23 - Telebot error - An error occurred: Exception during making request
18:55 - Telebot error - An error occurred: Exception during making request
